date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	F	7	n	-7.152050072992059	-0.709220194134785	-0.7294299262703583
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	F	8	n	-0.8380617409220186	-0.32696484407176335	-0.08545703670878449
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	F	9	n	11.182318490028035	1.8710034187906108	1.1472152489163079
20210409	ABZD	2	d	3	fbz30	DMSO	N2	G	1	n	-7.373890841639769	-0.757002112892659	-0.7521318443817213
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	G	10	n	11.353099550263842	-0.32696484407176335	1.1604495406404374
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	G	2	n	-8.988244308134226	-0.5180925191032741	-0.9162880223980207
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	G	3	n	-7.721991733342261	-1.1392574629556842	-0.7888413605777203
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	G	4	n	-17.42860189429582	0.4853277748121576	-1.7877165767279692
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	G	5	n	11.551017874754127	0.24641818102276908	1.177901663874519
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	G	6	n	5.98783324770835	0.7242373686015461	0.6108160481118647
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	G	7	n	8.847949927007942	0.05529050599125831	0.9023929358762465
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	G	8	n	16.16193825907798	0.4853277748121576	1.648030549123533
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	G	9	n	-6.817681509971965	1.0109288811488124	-0.699438868376839
20210409	ABZE	2	e	2	abz30	DMSO	N2	A	1	n	-20.730230135854754	-0.5497694257965303	-1.9775165641626486
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	A	10	n	-8.391070252077157	-1.232107365614919	-0.8019085295086673
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	A	2	n	-1.7683680192212083	0.4055036899492139	-0.16873374712626787
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	A	3	n	-14.79668258543333	-1.4595533455543817	-1.4135979941029289
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	A	4	n	-14.760458785611494	-0.9591721896875635	-1.407719278687672
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	A	5	n	-2.138009452186795	-0.6407478177723155	-0.2040428094849106
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	A	6	n	2.7938769141212614	0.5874604739007842	0.2665648749797689
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	A	7	n	-0.5888622750501007	1.2243092177312802	-0.056428529267253676
20210409	ABZE	2	e	2	abz30	DMSO	N2	B	1	n	2.2697698641452444	0.49648208192499904	0.21651990710036337
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	B	10	n	-4.3910702520771565	-1.0501505816633487	-0.4196409496083988
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	B	2	n	-4.768368019221208	0.2690361019855362	-0.454987081204168
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	B	3	n	-10.79668258543333	-1.2775965616028115	-1.0314588258289394
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	B	4	n	0.23954121438850606	-0.27683424986917476	0.022845278079274074
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	B	5	n	5.861990547813205	-0.27683424986917476	0.5594442154249635
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	B	6	n	11.793876914121261	0.9968632377918174	1.1252583495176367
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	B	7	n	-3.5888622750501007	1.0878416297676026	-0.3439076138925276
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	B	8	n	3.6089297479228435	-0.6862370137602081	0.34489421019213823
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	B	9	n	-4.53409929699518	0.2690361019855362	-0.43261949418730355
20210409	ABZE	2	e	2	abz30	DMSO	N2	C	1	n	-1.7302301358547556	0.31452529797342876	-0.1650516531192909
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	C	10	n	-1.3910702520771565	-0.913682993699671	-0.13294026468319747
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	C	2	n	5.231631980778792	0.7239280618644619	0.49919069905549907
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	C	3	n	-8.79668258543333	-1.1866181696270264	-0.8403892416919447
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	C	4	n	9.239541214388506	0.13256851402185843	0.8811840121394419
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	C	5	n	10.861990547813205	-0.04938826992971189	1.036623605993635
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	C	6	n	5.793876914121261	0.7239280618644619	0.5527960331590581
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	C	7	n	11.4111377249499	1.7701795695859914	1.093487809233842
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	C	8	n	-7.3910702520771565	-1.1866181696270264	-0.7063416345336002
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	C	9	n	11.46590070300482	0.9968632377918174	1.0940148941650019
20210409	ABZE	2	e	2	abz30	DMSO	N2	D	1	n	-16.730230135854754	-0.36781264184496	-1.5959450039429943
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	D	10	n	-9.391070252077157	-1.2775965616028115	-0.8974754244837345
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	D	2	n	2.2316319807787917	0.5874604739007842	0.21293736497759896
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	D	3	n	-3.796682585433331	-0.9591721896875635	-0.3627152813494581
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	D	4	n	1.239541214388506	-0.2313450538812822	0.11821624853040381
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	D	5	n	5.861990547813205	-0.27683424986917476	0.5594442154249635
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	D	6	n	24.793876914121263	1.588222785634421	2.3655933682945567
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	D	7	n	10.4111377249499	1.7246903735980987	0.997661447692084
